,categoryId,retailerId,category,categories,productId,sku,name,description,brand,price,prev_price,price_unit,unit,price_unit_0,price_unit_1
0,4c171bbd-ab9d-497f-ab48-9ed6eb8229db,30796,Beef Steak Cuts,Grocery/Meat & Seafood/Beef & Veal/Beef Steak Cuts,00236234000008,00236234000008,"Western Canadian - Sirloin Tip Marinating Steak, Fresh Family Pack","Cut From AAA Western Canadian Beef. Aged Min. 14 Days, Guaranteed Tender, Fresh, Super Warehouse Pack. Grain Fed Beef. Average Weight of Each Package May Vary.",Western Canadian,18.50031119350617,,$2.20/100g,gram,2.20,100
1,9266091f-9f48-48d6-9f36-b1b69e542b0a,30808,Ground Pork,Grocery/Meat & Seafood/Pork & Ham/Ground Pork,00077782001006,00077782001006,Johnsonville - Italiano Mild Italian Sausage Meat,Gluten Free. Ground Meat Perfect Blend of Herbs and Spices.,Johnsonville,6.99,,$1.86/100g,gram,1.86,100
2,71479d85-44cf-45d5-828a-cfa548d82742,30819,Hot Dogs & Franks,Grocery/Meat & Seafood/Hot Dogs & Sausages/Hot Dogs & Franks,00063100183943,00063100183943,Schneiders - Juicy Jumbos All Beef Wieners,"Schneiders Juicy Jumbos All Beef Wieners are a delicious take on an iconic classic. These juicy hot dogs are crafted with our premium cuts of beef and a mix of signature spices for a perfect harmony of flavours. The result is a tasty and versatile beef hot dog that pairs perfectly with classic condiments. Since 1890, Schneiders brand has established a rich heritage of original and authentic recipes, using premium ingredients and taking all the time needed to honour the origin and inspiration of each recipe. Quality never gets old.",Schneiders,8.99,,$2.40/100g,gram,2.40,100
3,4c171bbd-ab9d-497f-ab48-9ed6eb8229db,30796,Beef Steak Cuts,Grocery/Meat & Seafood/Beef & Veal/Beef Steak Cuts,00294738000009,00294738000009,Western Canadian - Flank Steak,AAA Beef. Grain Fed. Average Weight of Each Package May Vary.,Western Canadian,13.709093034347118,,$3.75/100g,gram,3.75,100
4,4c171bbd-ab9d-497f-ab48-9ed6eb8229db,30796,Beef Steak Cuts,Grocery/Meat & Seafood/Beef & Veal/Beef Steak Cuts,00210410000006,00210410000006,"Western Canadian - Striploin Grilling Steak, Fresh",AAA Beef. Grain Fed. Average Weight of Each Package May Vary.,Western Canadian,27.765017299563578,,$4.63/100g,gram,4.63,100
5,9c20523c-d66b-4a65-a09a-3c6c6c55ae20,30732,Deli Roast & Corn Beef Sliced,Grocery/Deli & Ready Made Meals/Meat/Fresh Sliced/Deli Roast & Corn Beef Sliced,00265889000002,00265889000002,Save-On-Foods - Deli Meat -  In Store Roasted Top Round Roast Beef,Roasted In Store. Deli Sliced or Shaved. Please indicate in your cart notes preference,Save-On-Foods,4.29,,$4.29/100g,gram,4.29,100
6,227ab043-80b5-4823-8fa0-da976414d56d,30983,Frozen Burgers & Patties,Grocery/Frozen/Frozen Meat/Frozen Burgers & Patties,00062639316617,00062639316617,Western Family - Rancher Beef Burgers,12 - 5oz Seasoned Frozen Beef Burgers.,Western Family,24.99,,$2.08 each,each,2.08 ,
7,9c20523c-d66b-4a65-a09a-3c6c6c55ae20,30732,Deli Roast & Corn Beef Sliced,Grocery/Deli & Ready Made Meals/Meat/Fresh Sliced/Deli Roast & Corn Beef Sliced,00294353000002,00294353000002,"Save-On-Foods - Roast Beef, Garlic Style",Deli Sliced or Shaved. Please indicate in your Notes on Preference.,Save-On-Foods,3.79,,$3.79/100g,gram,3.79,100
8,44d552a9-7bd9-4cf7-a74b-0a6b763d7006,30820,Sausages & Smokies,Grocery/Meat & Seafood/Hot Dogs & Sausages/Sausages & Smokies,00850004207277,00850004207277,Beyond Meat - Sausage Mild Italian,"Plant-Based Dinner Sausages, Uncooked. No Soy, No Gluten",Beyond Meat,9.99,,$2.50/100g,gram,2.50,100
9,e4a2155a-857e-4da4-98d1-554acd80c6c8,30793,Ground & Patties,Grocery/Meat & Seafood/Beef & Veal/Ground & Patties,00062639358297,00062639358297,Western Family - Lean Angus Beef Burger,"6 burgers, 50% less fat than our Western Family rancher beef burger. Made with 100% Angus beef. Uncooked, keep frozen.",Western Family,18.49,,$2.17/100g,gram,2.17,100
10,71479d85-44cf-45d5-828a-cfa548d82742,30819,Hot Dogs & Franks,Grocery/Meat & Seafood/Hot Dogs & Sausages/Hot Dogs & Franks,00062639356897,00062639356897,Western Family - All Beef Hot Dog Wieners,375g Pack. 10 All Beef Wieners.,Western Family,5.29,6.49,$0.53 each,each,0.53 ,
11,9c20523c-d66b-4a65-a09a-3c6c6c55ae20,30732,Deli Roast & Corn Beef Sliced,Grocery/Deli & Ready Made Meals/Meat/Fresh Sliced/Deli Roast & Corn Beef Sliced,00294322000002,00294322000002,"Save-On-Foods - Corned Beef, Original",Deli Sliced or Shaved. Please indicate in your Notes on Preference.,Save-On-Foods,3.79,,$3.79/100g,gram,3.79,100
12,e4a2155a-857e-4da4-98d1-554acd80c6c8,30793,Ground & Patties,Grocery/Meat & Seafood/Beef & Veal/Ground & Patties,00627843600268,00627843600268,Western Canadian - Keto Reg Ground Beef,"Delicious and juicy regular Ground Beef (Frozen), perfect for burgers, or pasta sauce",Western Canadian,11.99,,$2.64/100g,gram,2.64,100
13,e4a2155a-857e-4da4-98d1-554acd80c6c8,30793,Ground & Patties,Grocery/Meat & Seafood/Beef & Veal/Ground & Patties,00815311006234,00815311006234,Top Grass Cattle Company - Lean Ground Beef Grass Fed,"83% - 90% lean meat, vacuum packaged to enhance freezer life and convenience. To thaw, simply place the package in cool water for about 45 minutes to 1 hour and then you are ready to begin cooking.",Top Grass Cattle Company,12.99,,$2.86/100g,gram,2.86,100
14,4c171bbd-ab9d-497f-ab48-9ed6eb8229db,30796,Beef Steak Cuts,Grocery/Meat & Seafood/Beef & Veal/Beef Steak Cuts,00297829000001,00297829000001,Western Canadian - Canada Prime Striploin Steak,"This premium cut of meat is chosen from the top 2% of triple AAA cattle, for its liberal marbling, it features beautiful red meat laced with thin striations of white fat and is sure to provide the ultimate in tenderness, juiciness, and flavor giving an extremely tasty eating experience. This is sure to be the talk of your next BBQ, bringing the highest quality steak available to your kitchen table.",Western Canadian,28.210351069176927,,$7.05/100g,gram,7.05,100
15,4c171bbd-ab9d-497f-ab48-9ed6eb8229db,30796,Beef Steak Cuts,Grocery/Meat & Seafood/Beef & Veal/Beef Steak Cuts,00226477000002,00226477000002,"Western Canadian - Top Sirloin Grilling Steak, Fresh",AAA Beef. Grain Fed. Average Weight of Each Package May Vary.,Western Canadian,17.074802206218802,,$3.41/100g,gram,3.41,100
16,e4a2155a-857e-4da4-98d1-554acd80c6c8,30793,Ground & Patties,Grocery/Meat & Seafood/Beef & Veal/Ground & Patties,00270483000006,00270483000006,"Western Canadian - Lean Ground Beef Fine Grind, Family Pack","Tube, Superpack Approx.. 3 1b Tube",Western Canadian,18.027199178857447,,$1.39/100g,gram,1.39,100
17,595dcdf2-0015-4dc7-8bda-df881df64930,30824,Plant Based Sausages & Smokies,Grocery/Meat & Seafood/Meat Alternatives/Plant Based Sausages & Smokies,00850004207376,00850004207376,Beyond Meat - Sausage Hot Italian,"Plant-Based Dinner Sausages, Uncooked. No Soy, No Gluten",Beyond Meat,9.99,,$2.50/100g,gram,2.50,100
18,9266091f-9f48-48d6-9f36-b1b69e542b0a,30808,Ground Pork,Grocery/Meat & Seafood/Pork & Ham/Ground Pork,00077782001013,00077782001013,Johnsonville - Hot Italian Sausage Meat,Gluten Free. Perfect Blend of Herbs and Spices. Made with just the right amount of crushed red pepper. And not one speck more. Gluten Free.,Johnsonville,6.99,,$1.86/100g,gram,1.86,100
19,71479d85-44cf-45d5-828a-cfa548d82742,30819,Hot Dogs & Franks,Grocery/Meat & Seafood/Hot Dogs & Sausages/Hot Dogs & Franks,00063100115852,00063100115852,Schneiders - Original Recipe All Beef Wieners,"Made with premium cuts of beef, Schneiders Original Recipe All Beef Wieners are a fan favourite for any get-together. Seasoned with a signature spice blend for a bold and smoky taste.",Schneiders,8.29,,$2.21/100g,gram,2.21,100
20,e4a2155a-857e-4da4-98d1-554acd80c6c8,30793,Ground & Patties,Grocery/Meat & Seafood/Beef & Veal/Ground & Patties,00290066000001,00290066000001,"Save-On-Foods - Lean Ground Beef, Fresh",Tray Pack,Save-On-Foods,8.73517779851542,,$1.65/100g,gram,1.65,100
21,3244d901-e0b9-4190-97c2-44362c27c935,30827,Fish,Grocery/Meat & Seafood/Fish,00292539000006,00292539000006,"Salmon Village - Wild Sockeye Salmon Fillets, Frozen",Frozen fillets packaged & vacuum sealed. Salmon portion weight may vary from 700g to 1Kg.,Salmon Village,29.665,38.165,$3.49/100g,gram,3.49,100
22,3244d901-e0b9-4190-97c2-44362c27c935,30827,Fish,Grocery/Meat & Seafood/Fish,00292584000006,00292584000006,"Save-On-Foods - Salmon Wild Sockeye Fillets, Fresh",Weighed and Tray Packaged in Tray Pack. Average Weight of each Pack may VaryOne Full Fillet Tray: 700g Avg.,Save-On-Foods,20.93,41.93,$2.99/100g,gram,2.99,100
23,3244d901-e0b9-4190-97c2-44362c27c935,30827,Fish,Grocery/Meat & Seafood/Fish,00221567000009,00221567000009,Save-On-Foods - Wild Sockeye Salmon Fillets,Previously Frozen. Ocean Wise Recommended.Packed form our Seafood Dept.Average Pack of Fillet May Weigh 225g to 1000g. Please indicate in your cart review notes if a prefered size/weight required.,Save-On-Foods,15.705,20.205,$3.49/100g,gram,3.49,100
24,e4a2155a-857e-4da4-98d1-554acd80c6c8,30793,Ground & Patties,Grocery/Meat & Seafood/Beef & Veal/Ground & Patties,00290061000006,00290061000006,Western Canadian - Ground Beef Regular,Fresh. Average weight may vary for each package.,Western Canadian,6.98580974807842,,$1.32/100g,gram,1.32,100
25,227ab043-80b5-4823-8fa0-da976414d56d,30983,Frozen Burgers & Patties,Grocery/Frozen/Frozen Meat/Frozen Burgers & Patties,00627843600213,00627843600213,Top Grass Cattle Company - Beef Burgers Grass Fed,"Frozen, Simple ingredients that compliment the savory flavor of our beef. 4 uncooked beef burgers. Free range and grass fed. No gluten, fillers, antibiotics, or hormones.",Top Grass Cattle Company,14.49,,$3.62 each,each,3.62 ,
26,470c36fc-9c52-4b2b-920f-1d1994ab57ed,30733,Deli Bologna & Pastrami Sliced,Grocery/Deli & Ready Made Meals/Meat/Fresh Sliced/Deli Bologna & Pastrami Sliced,00287960000008,00287960000008,Save-On-Foods - Bavarian Meat Loaf,Deli Sliced or Shaved.,Save-On-Foods,2.89,,$2.89/100g,gram,2.89,100
27,4c171bbd-ab9d-497f-ab48-9ed6eb8229db,30796,Beef Steak Cuts,Grocery/Meat & Seafood/Beef & Veal/Beef Steak Cuts,00260521000006,00260521000006,"Western Canadian - Boneless Blade Simmering Steak, Fresh Family Pack",AAA Beef. Grain Fed. Average Weight may Vary By Pack.,Western Canadian,17.783588379143154,,$2.09/100g,gram,2.09,100
28,61960ef2-7685-49da-a62f-0b21f6159aa9,30987,Frozen Appetizers & Meatballs,Grocery/Frozen/Frozen Meat/Frozen Appetizers & Meatballs,00807176291030,00807176291030,Cj Foods - Vegetable & Meat Dumplings,"Blend of seasoned beef with vegetables inside a delicate thin wrapper. Perfect snack, appetizer or meal. Keep frozen.",Cj Foods,15.99,,$1.76/100g,gram,1.76,100
29,3244d901-e0b9-4190-97c2-44362c27c935,30827,Fish,Grocery/Meat & Seafood/Fish,00280360000005,00280360000005,Save-On-Foods - Salmon Steelhead Farmed Fillets,"Ocean Wise. Orange Flesh like Salmon, Milder Flavour Cross  Between Salmon & Trout. Average Weight of each Fillet is Approx 454g.",Save-On-Foods,17.2066,18.1146,$3.79/100g,gram,3.79,100
30,688f91bb-62c8-443e-90ad-03bda3845278,30840,Meat Pies and Dinners,Grocery/Meat & Seafood/Frozen Meat/Meat Pies and Dinners,00063100132873,00063100132873,Schneiders - Original Beef Pies,"Enjoy delicious, made-from-scratch taste with Schneiders Original Beef Pies. These meat pies feature tender pieces of beef in a savoury, rich gravy baked in a golden flaky pastry. Made with our quality cuts of beef, this homestyle beef pot pie is a satisfying, comforting meal that you will be proud to serve your family and friends. Since 1890, Schneiders brand has established a rich heritage of original and authentic recipes, using premium ingredients and taking all the time needed to honour the origin and inspiration of each recipe. Quality never gets old.",Schneiders,7.99,,$2.00/100g,gram,2.00,100
31,44d552a9-7bd9-4cf7-a74b-0a6b763d7006,30820,Sausages & Smokies,Grocery/Meat & Seafood/Hot Dogs & Sausages/Sausages & Smokies,00077782001839,00077782001839,Johnsonville - Cheddar Beef Sausages,"Real cheddar cheese and quality cuts of beef go together like, well, real cheddar cheese and quality cuts of beef. Get both classic flavours in this delicious new sausage. Gluten Free.",Johnsonville,8.49,,$1.42 each,each,1.42 ,
32,44d552a9-7bd9-4cf7-a74b-0a6b763d7006,30820,Sausages & Smokies,Grocery/Meat & Seafood/Hot Dogs & Sausages/Sausages & Smokies,00063100825522,00063100825522,Maple Leaf Prime - Natural Ground Pork Sausage Meat,"Make a variety of delicious dishes at home with Maple Leaf Natural Ground Pork Sausage. This savoury ground meat is made with natural ingredients and our quality cuts of pork. Seasoned with natural ingredients, this versatile pork sausage is easy to cook in your favourite recipes. Try this ground pork in burgers, meatballs, stir-fries, soups, and more. Made for families, the Maple Leaf brand offers premium meat using only natural ingredients with no artificial preservatives, flavours, colours, or sweeteners. Dedicated to providing wholesome, real food for Canadians for generations to come, Maple Leaf is the first major food company in the world to become carbon neutral. Join them in their commitment to build a more sustainable planet.",Maple Leaf Prime,7.69,,$1.54/100g,gram,1.54,100
33,58a125ec-7440-40bc-a38b-3c185dfcd8a2,30989,Frozen Meat Pies and Dinners,Grocery/Frozen/Frozen Meat/Frozen Meat Pies and Dinners,00062639288334,00062639288334,Western Family - Meat Pies - Chicken & Vegetable,Frozen. Oven Ready 6 Pies.,Western Family,9.99,11.69,$1.67 each,each,1.67 ,
34,6f076d29-5a9f-4b12-9e2f-fca5f15aa30f,30797,"Beef Stew, Cubes & Strip Cut","Grocery/Meat & Seafood/Beef & Veal/Beef Stew, Cubes & Strip Cut",00269120000004,00269120000004,Western Canadian - Beef Liver Sliced,Vacuum Sealed Pack for Freshness.,Western Canadian,4.621991326705955,,$1.32/100g,gram,1.32,100
35,e4a2155a-857e-4da4-98d1-554acd80c6c8,30793,Ground & Patties,Grocery/Meat & Seafood/Beef & Veal/Ground & Patties,00062639368784,00062639368784,Western Family - Beef Burger,"WF Frozen Beef Burgers, 100g patties.",Western Family,16.99,,$1.70/100g,gram,1.70,100
36,227ab043-80b5-4823-8fa0-da976414d56d,30983,Frozen Burgers & Patties,Grocery/Frozen/Frozen Meat/Frozen Burgers & Patties,00062639363970,00062639363970,Western Family - Sirloin Burgers,Package contains 6 uncooked beef patties. Keep frozen. Gluten free. No artificial colours or flavours.,Western Family,15.99,17.99,$2.67 each,each,2.67 ,
37,58a125ec-7440-40bc-a38b-3c185dfcd8a2,30989,Frozen Meat Pies and Dinners,Grocery/Frozen/Frozen Meat/Frozen Meat Pies and Dinners,00062639288327,00062639288327,Western Family - Meat Pies - Beef & Vegetable,Frozen. Oven Ready 6 Pies.,Western Family,9.99,11.69,$1.67 each,each,1.67 ,
38,18a631ec-fba9-406d-941a-a6ab1b3f509c,30799,Chicken Breasts,Grocery/Meat & Seafood/Chicken & Turkey/Chicken Breasts,00276588000002,00276588000002,"Save-On-Foods - Chicken Breast Boneless Skinless, Raised Without Antibiotics, Family Pack",Raised on family farms without antibiotics. Humanely raised. Average weight of each package may vary,Save-On-Foods,20.109906169717934,,$2.42/100g,gram,2.42,100
39,18a631ec-fba9-406d-941a-a6ab1b3f509c,30799,Chicken Breasts,Grocery/Meat & Seafood/Chicken & Turkey/Chicken Breasts,00236538000001,00236538000001,"Western Canadian - Chicken Breast Boneless Skinless, Raised Without Antibiotics",Raised on family farms without antibiotics. Western Canadian. Humanely raised. Average weight of each package may vary,Western Canadian,11.366372851465739,,$2.64/100g,gram,2.64,100
40,18a631ec-fba9-406d-941a-a6ab1b3f509c,30799,Chicken Breasts,Grocery/Meat & Seafood/Chicken & Turkey/Chicken Breasts,00061951096528,00061951096528,"Western Canadian - Chicken Breast, Boneless Skinless, Fresh",Raised on Family Farms. Family Pack.,Western Canadian,13.0,,,each,,
41,5020d64e-fc62-41c6-a616-c1212138d339,30802,Ground & Patties,Grocery/Meat & Seafood/Chicken & Turkey/Ground & Patties,00292281000002,00292281000002,"Western Canadian - Turkey Breast Ground,  Fresh",Raised on Family Farms. Western Canadian. Average Weight of Each Package May Vary.,Western Canadian,8.843512954153084,,$2.42/100g,gram,2.42,100
42,d23866c2-be35-4c09-936b-2272d32aaef7,30990,Frozen Meat Alternatives,Grocery/Frozen/Frozen Meat/Frozen Meat Alternatives,00842234000643,00842234000643,Gardein - Crispy Tenders Seven Grain Meat Free,"Frozen. Theres no guilt with these easy, delicious, and crispy chickn strips. Everyone likes to skinny dip! Dairy Free, Vegan.",Gardein,4.99,6.29,$1.96/100g,gram,1.96,100
43,6f076d29-5a9f-4b12-9e2f-fca5f15aa30f,30797,"Beef Stew, Cubes & Strip Cut","Grocery/Meat & Seafood/Beef & Veal/Beef Stew, Cubes & Strip Cut",00247112000003,00247112000003,"Western Canadian - Inside Round Rouladen, Fresh",AAA Beef. Grain Fed. Thin Sliced 14 Days Min. Approx 3 Pieces. Average Weight of Each Package May Vary.,Western Canadian,14.274049627422096,,$2.64/100g,gram,2.64,100
44,71479d85-44cf-45d5-828a-cfa548d82742,30819,Hot Dogs & Franks,Grocery/Meat & Seafood/Hot Dogs & Sausages/Hot Dogs & Franks,00062000001562,00062000001562,Schneiders - Original Recipe All Beef BBQ Size Wieners,"Made with our premium cuts of beef, Schneiders All Beef BBQ Size Wieners are a fan favourite for any get-together. These original recipe beef hot dogs are seasoned with our signature spice blend for a bold and smoky taste. Sized extra-large to fit on the grill, these wieners deliver a strong yet versatile flavour that pairs perfectly with classic condiments. Since 1890, Schneiders brand has established a rich heritage of original and authentic recipes, using premium ingredients and taking all the time needed to honour the origin and inspiration of each recipe. Quality never gets old.",Schneiders,8.29,,$1.84/100g,gram,1.84,100
45,71479d85-44cf-45d5-828a-cfa548d82742,30819,Hot Dogs & Franks,Grocery/Meat & Seafood/Hot Dogs & Sausages/Hot Dogs & Franks,00057393600218,00057393600218,Harvest - All Beef Wieners,"Naturally Smoked, Gluten Free No MSG Added. Individually Wrapped for Freshness.",Harvest,8.79,,$1.10 each,each,1.10 ,
46,8eec5180-2fa9-4348-85e0-6f5a25dfd226,30804,Chicken Thighs & Legs,Grocery/Meat & Seafood/Chicken & Turkey/Chicken Thighs & Legs,00248289000001,00248289000001,"Save-On-Foods - Chicken Thighs Boneless Skinless, Raised Without Antibiotics, Family Pack",Raised on family farms without antibiotics. Humanely raised. Average weight of each package may vary,Save-On-Foods,21.55128843988274,,$2.27/100g,gram,2.27,100
47,353562bf-4f2f-4b0f-aa20-a040a120ed8f,30801,Chicken Drumsticks & Wings,Grocery/Meat & Seafood/Chicken & Turkey/Chicken Drumsticks & Wings,00292523000005,00292523000005,"Western Canadian - Chicken Split Wings, Fresh, Family Pack",Raised on Family Farms. Western Canadian. Average Weight of Each Package May Vary.,Western Canadian,19.125321706800293,,$1.61/100g,gram,1.61,100
48,8eec5180-2fa9-4348-85e0-6f5a25dfd226,30804,Chicken Thighs & Legs,Grocery/Meat & Seafood/Chicken & Turkey/Chicken Thighs & Legs,00292518000003,00292518000003,Western Canadian - Chicken Thighs Bone In Skin On- Family Pack,Fresh. Raised on Family Farms.  Average Weight of Each Package May Vary.,Western Canadian,9.939982015129589,14.175062071701094,$0.88/100g,gram,0.88,100
49,8eec5180-2fa9-4348-85e0-6f5a25dfd226,30804,Chicken Thighs & Legs,Grocery/Meat & Seafood/Chicken & Turkey/Chicken Thighs & Legs,00292624000003,00292624000003,"Western Canadian - Chicken Thighs Boneless Skinless, Family Pack",Raised on Family Farms. Average Weight of Each Package May Vary by Portions (10-13).,Western Canadian,21.943490804309583,,$2.07/100g,gram,2.07,100
